case_id,condition_id,question_policy,budget,prefix_depth,step_index,question_id,observed_answer,information_gain,predicted_domain_before,predicted_domain_after,domain_entropy_before,domain_entropy_after,entropy_reduction,truth_retained_after,final_correct_after_step
package-transfer__noisy,clean-gold,top-domain,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__noisy,clean-gold,top-domain,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__noisy,clean-gold,top-domain,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__noisy,clean-gold,random,1,2,1,procurement-invoice,no,0.556,package,package,1.634,1.24,0.393,1,1
package-transfer__noisy,clean-gold,random,2,2,1,procurement-invoice,no,0.556,package,package,1.634,1.24,0.393,1,1
package-transfer__noisy,clean-gold,random,2,2,2,sample-assay,no,0.644,package,package,1.24,0.715,0.525,1,1
package-transfer__noisy,clean-gold,random,3,2,1,procurement-invoice,no,0.556,package,package,1.634,1.24,0.393,1,1
package-transfer__noisy,clean-gold,random,3,2,2,sample-assay,no,0.644,package,package,1.24,0.715,0.525,1,1
package-transfer__noisy,clean-gold,random,3,2,3,package-tracking,yes,0.715,package,package,0.715,0,0.715,1,1
package-transfer__noisy,masked-noisy,information-gain,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__noisy,masked-noisy,information-gain,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__noisy,masked-noisy,information-gain,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__noisy,masked-noisy,top-domain,1,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-noisy,top-domain,2,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-noisy,top-domain,2,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__noisy,masked-noisy,top-domain,3,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-noisy,top-domain,3,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__noisy,masked-noisy,top-domain,3,2,3,sample-assay,yes,0.997,sample,sample,1.935,0.641,1.294,1,0
package-transfer__noisy,masked-noisy,random,1,2,1,procurement-invoice,no,0.556,package,package,1.634,1.24,0.393,1,1
package-transfer__noisy,masked-noisy,random,2,2,1,procurement-invoice,no,0.556,package,package,1.634,1.24,0.393,1,1
package-transfer__noisy,masked-noisy,random,2,2,2,manuscript-review,no,0.644,package,package,1.24,0.715,0.525,1,1
package-transfer__noisy,masked-noisy,random,3,2,1,procurement-invoice,no,0.556,package,package,1.634,1.24,0.393,1,1
package-transfer__noisy,masked-noisy,random,3,2,2,manuscript-review,no,0.644,package,package,1.24,0.715,0.525,1,1
package-transfer__noisy,masked-noisy,random,3,2,3,package-dispatch,yes,0.715,package,package,0.715,0,0.715,1,1
package-transfer__noisy,masked-adversarial,information-gain,1,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,information-gain,2,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,information-gain,2,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__noisy,masked-adversarial,information-gain,3,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,information-gain,3,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__noisy,masked-adversarial,information-gain,3,2,3,sample-assay,no,0.997,sample,procurement,1.935,1.942,-0.007,1,0
package-transfer__noisy,masked-adversarial,top-domain,1,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,top-domain,2,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,top-domain,2,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__noisy,masked-adversarial,top-domain,3,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,top-domain,3,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__noisy,masked-adversarial,top-domain,3,2,3,sample-assay,no,0.997,sample,procurement,1.935,1.942,-0.007,1,0
package-transfer__noisy,masked-adversarial,random,1,2,1,package-tracking,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,random,2,2,1,package-tracking,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,random,2,2,2,sample-assay,no,0.958,manuscript,manuscript,1.398,1.935,-0.537,0,0
package-transfer__noisy,masked-adversarial,random,3,2,1,package-tracking,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,random,3,2,2,sample-assay,no,0.958,manuscript,manuscript,1.398,1.935,-0.537,0,0
package-transfer__noisy,masked-adversarial,random,3,2,3,maintenance-repair,yes,0.511,manuscript,maintenance,1.935,0.989,0.946,0,0
package-transfer__noisy,masked-noisy,information-gain,1,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__noisy,masked-noisy,information-gain,2,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__noisy,masked-noisy,information-gain,3,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__noisy,masked-noisy,top-domain,1,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-noisy,top-domain,2,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-noisy,top-domain,2,3,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__noisy,masked-noisy,top-domain,3,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-noisy,top-domain,3,3,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__noisy,masked-noisy,top-domain,3,3,3,sample-assay,no,0.997,sample,procurement,1.935,1.942,-0.007,1,0
package-transfer__noisy,masked-noisy,random,1,3,1,procurement-invoice,no,0.556,package,package,1.634,1.24,0.393,1,1
package-transfer__noisy,masked-noisy,random,2,3,1,procurement-invoice,no,0.556,package,package,1.634,1.24,0.393,1,1
package-transfer__noisy,masked-noisy,random,2,3,2,package-dispatch,yes,0.913,package,package,1.24,0,1.24,1,1
package-transfer__noisy,masked-noisy,random,3,3,1,procurement-invoice,no,0.556,package,package,1.634,1.24,0.393,1,1
package-transfer__noisy,masked-noisy,random,3,3,2,package-dispatch,yes,0.913,package,package,1.24,0,1.24,1,1
package-transfer__noisy,masked-adversarial,information-gain,1,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,information-gain,2,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,information-gain,2,3,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__noisy,masked-adversarial,information-gain,3,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,information-gain,3,3,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__noisy,masked-adversarial,information-gain,3,3,3,sample-assay,no,0.997,sample,procurement,1.935,1.942,-0.007,1,0
package-transfer__noisy,masked-adversarial,top-domain,1,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,top-domain,2,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,top-domain,2,3,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__noisy,masked-adversarial,top-domain,3,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,top-domain,3,3,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__noisy,masked-adversarial,top-domain,3,3,3,sample-assay,no,0.997,sample,procurement,1.935,1.942,-0.007,1,0
package-transfer__noisy,masked-adversarial,random,1,3,1,package-tracking,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,random,2,3,1,package-tracking,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,random,2,3,2,sample-temperature,no,0.958,manuscript,manuscript,1.398,1.935,-0.537,0,0
package-transfer__noisy,masked-adversarial,random,3,3,1,package-tracking,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__noisy,masked-adversarial,random,3,3,2,sample-temperature,no,0.958,manuscript,manuscript,1.398,1.935,-0.537,0,0
package-transfer__noisy,masked-adversarial,random,3,3,3,compliance-signoff,yes,0.511,manuscript,compliance,1.935,0.989,0.946,0,0
sample-aliquot__paraphrased,masked-noisy,information-gain,1,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-aliquot__paraphrased,masked-noisy,information-gain,2,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-aliquot__paraphrased,masked-noisy,information-gain,2,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,1,1
sample-aliquot__paraphrased,masked-noisy,information-gain,3,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-aliquot__paraphrased,masked-noisy,information-gain,3,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,1,1
sample-aliquot__paraphrased,masked-noisy,information-gain,3,2,3,sample-assay,no,0.997,sample,procurement,1.935,1.942,-0.007,0,0
sample-aliquot__paraphrased,masked-noisy,top-domain,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-noisy,top-domain,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-noisy,top-domain,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-noisy,random,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-noisy,random,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-noisy,random,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-adversarial,information-gain,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-adversarial,information-gain,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-adversarial,information-gain,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-adversarial,top-domain,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-adversarial,top-domain,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-adversarial,top-domain,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-adversarial,random,1,2,1,manuscript-review,yes,0.59,package,manuscript,1.634,0.958,0.675,0,0
sample-aliquot__paraphrased,masked-adversarial,random,2,2,1,manuscript-review,yes,0.59,package,manuscript,1.634,0.958,0.675,0,0
sample-aliquot__paraphrased,masked-adversarial,random,2,2,2,package-tracking,yes,0.958,manuscript,package,0.958,0.711,0.247,0,0
sample-aliquot__paraphrased,masked-adversarial,random,3,2,1,manuscript-review,yes,0.59,package,manuscript,1.634,0.958,0.675,0,0
sample-aliquot__paraphrased,masked-adversarial,random,3,2,2,package-tracking,yes,0.958,manuscript,package,0.958,0.711,0.247,0,0
sample-aliquot__paraphrased,masked-adversarial,random,3,2,3,package-tracking,no,0.711,package,manuscript,0.711,0.959,-0.248,0,0
sample-aliquot__paraphrased,masked-noisy,information-gain,1,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-aliquot__paraphrased,masked-noisy,information-gain,2,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-aliquot__paraphrased,masked-noisy,information-gain,2,3,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,1,1
sample-aliquot__paraphrased,masked-noisy,information-gain,3,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-aliquot__paraphrased,masked-noisy,information-gain,3,3,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,1,1
sample-aliquot__paraphrased,masked-noisy,information-gain,3,3,3,sample-assay,yes,0.997,sample,sample,1.935,0.641,1.294,1,1
sample-aliquot__paraphrased,masked-noisy,top-domain,1,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-noisy,top-domain,2,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-noisy,top-domain,3,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-noisy,random,1,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-aliquot__paraphrased,masked-noisy,random,2,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-aliquot__paraphrased,masked-noisy,random,2,3,2,manuscript-review,yes,1,manuscript,manuscript,1.398,0.653,0.744,0,0
sample-aliquot__paraphrased,masked-noisy,random,3,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-aliquot__paraphrased,masked-noisy,random,3,3,2,manuscript-review,yes,1,manuscript,manuscript,1.398,0.653,0.744,0,0
sample-aliquot__paraphrased,masked-noisy,random,3,3,3,manuscript-review,no,0.653,manuscript,manuscript,0.653,1.7,-1.047,1,0
sample-aliquot__paraphrased,masked-adversarial,information-gain,1,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-adversarial,information-gain,2,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-adversarial,information-gain,3,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-adversarial,top-domain,1,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-adversarial,top-domain,2,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-adversarial,top-domain,3,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__paraphrased,masked-adversarial,random,1,3,1,manuscript-review,yes,0.59,package,manuscript,1.634,0.958,0.675,0,0
sample-aliquot__paraphrased,masked-adversarial,random,2,3,1,manuscript-review,yes,0.59,package,manuscript,1.634,0.958,0.675,0,0
sample-aliquot__paraphrased,masked-adversarial,random,2,3,2,manuscript-review,yes,0.958,manuscript,manuscript,0.958,0.647,0.311,0,0
sample-aliquot__paraphrased,masked-adversarial,random,3,3,1,manuscript-review,yes,0.59,package,manuscript,1.634,0.958,0.675,0,0
sample-aliquot__paraphrased,masked-adversarial,random,3,3,2,manuscript-review,yes,0.958,manuscript,manuscript,0.958,0.647,0.311,0,0
sample-aliquot__paraphrased,masked-adversarial,random,3,3,3,package-dispatch,yes,0.647,manuscript,manuscript,0.647,0.981,-0.334,0,0
sample-aliquot__noisy,masked-noisy,information-gain,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-noisy,information-gain,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-noisy,information-gain,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-noisy,top-domain,1,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-aliquot__noisy,masked-noisy,top-domain,2,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-aliquot__noisy,masked-noisy,top-domain,2,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,1,1
sample-aliquot__noisy,masked-noisy,top-domain,3,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-aliquot__noisy,masked-noisy,top-domain,3,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,1,1
sample-aliquot__noisy,masked-noisy,top-domain,3,2,3,sample-assay,yes,0.997,sample,sample,1.935,0.641,1.294,1,1
sample-aliquot__noisy,masked-noisy,random,1,2,1,procurement-approval,no,0.556,package,package,1.634,1.24,0.393,1,0
sample-aliquot__noisy,masked-noisy,random,2,2,1,procurement-approval,no,0.556,package,package,1.634,1.24,0.393,1,0
sample-aliquot__noisy,masked-noisy,random,2,2,2,sample-assay,yes,0.644,package,sample,1.24,0.972,0.269,1,1
sample-aliquot__noisy,masked-noisy,random,3,2,1,procurement-approval,no,0.556,package,package,1.634,1.24,0.393,1,0
sample-aliquot__noisy,masked-noisy,random,3,2,2,sample-assay,yes,0.644,package,sample,1.24,0.972,0.269,1,1
sample-aliquot__noisy,masked-noisy,random,3,2,3,sample-temperature,yes,0.972,sample,sample,0.972,0.636,0.336,1,1
sample-aliquot__noisy,masked-adversarial,information-gain,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-adversarial,information-gain,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-adversarial,information-gain,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-adversarial,top-domain,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-adversarial,top-domain,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-adversarial,top-domain,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-adversarial,random,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-adversarial,random,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-adversarial,random,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-noisy,information-gain,1,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-noisy,information-gain,2,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-noisy,information-gain,3,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-noisy,top-domain,1,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-aliquot__noisy,masked-noisy,top-domain,2,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-aliquot__noisy,masked-noisy,top-domain,2,3,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,1,1
sample-aliquot__noisy,masked-noisy,top-domain,3,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-aliquot__noisy,masked-noisy,top-domain,3,3,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,1,1
sample-aliquot__noisy,masked-noisy,top-domain,3,3,3,sample-assay,yes,0.997,sample,sample,1.935,0.641,1.294,1,1
sample-aliquot__noisy,masked-noisy,random,1,3,1,procurement-approval,no,0.556,package,package,1.634,1.24,0.393,1,0
sample-aliquot__noisy,masked-noisy,random,2,3,1,procurement-approval,no,0.556,package,package,1.634,1.24,0.393,1,0
sample-aliquot__noisy,masked-noisy,random,2,3,2,manuscript-revision,no,0.644,package,package,1.24,0.715,0.525,1,0
sample-aliquot__noisy,masked-noisy,random,3,3,1,procurement-approval,no,0.556,package,package,1.634,1.24,0.393,1,0
sample-aliquot__noisy,masked-noisy,random,3,3,2,manuscript-revision,no,0.644,package,package,1.24,0.715,0.525,1,0
sample-aliquot__noisy,masked-noisy,random,3,3,3,sample-assay,no,0.715,package,package,0.715,0,0.715,0,0
sample-aliquot__noisy,masked-adversarial,information-gain,1,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-adversarial,information-gain,2,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-adversarial,information-gain,3,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-adversarial,top-domain,1,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-adversarial,top-domain,2,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-adversarial,top-domain,3,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-adversarial,random,1,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-adversarial,random,2,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-aliquot__noisy,masked-adversarial,random,3,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-cold-room__paraphrased,clean-gold,information-gain,1,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-cold-room__paraphrased,clean-gold,information-gain,2,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-cold-room__paraphrased,clean-gold,information-gain,2,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,1,1
sample-cold-room__paraphrased,clean-gold,information-gain,3,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-cold-room__paraphrased,clean-gold,information-gain,3,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,1,1
sample-cold-room__paraphrased,clean-gold,information-gain,3,2,3,sample-assay,yes,0.997,sample,sample,1.935,0.641,1.294,1,1
sample-cold-room__paraphrased,clean-gold,top-domain,1,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-cold-room__paraphrased,clean-gold,top-domain,2,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-cold-room__paraphrased,clean-gold,top-domain,2,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,1,1
sample-cold-room__paraphrased,clean-gold,top-domain,3,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-cold-room__paraphrased,clean-gold,top-domain,3,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,1,1
sample-cold-room__paraphrased,clean-gold,top-domain,3,2,3,sample-assay,yes,0.997,sample,sample,1.935,0.641,1.294,1,1
sample-cold-room__paraphrased,clean-gold,random,1,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-cold-room__paraphrased,clean-gold,random,2,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-cold-room__paraphrased,clean-gold,random,2,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,1,1
sample-cold-room__paraphrased,clean-gold,random,3,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-cold-room__paraphrased,clean-gold,random,3,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,1,1
sample-cold-room__paraphrased,clean-gold,random,3,2,3,procurement-invoice,no,0.553,sample,sample,1.935,1.91,0.025,1,1
sample-cold-room__paraphrased,masked-noisy,information-gain,1,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-cold-room__paraphrased,masked-noisy,information-gain,2,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-cold-room__paraphrased,masked-noisy,information-gain,2,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,1,1
sample-cold-room__paraphrased,masked-noisy,information-gain,3,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-cold-room__paraphrased,masked-noisy,information-gain,3,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,1,1
sample-cold-room__paraphrased,masked-noisy,information-gain,3,2,3,sample-assay,yes,0.997,sample,sample,1.935,0.641,1.294,1,1
sample-cold-room__paraphrased,masked-noisy,top-domain,1,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-cold-room__paraphrased,masked-noisy,top-domain,2,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-cold-room__paraphrased,masked-noisy,top-domain,2,2,2,manuscript-review,yes,1,manuscript,manuscript,1.398,0.653,0.744,0,0
sample-cold-room__paraphrased,masked-noisy,top-domain,3,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,1,0
sample-cold-room__paraphrased,masked-noisy,top-domain,3,2,2,manuscript-review,yes,1,manuscript,manuscript,1.398,0.653,0.744,0,0
sample-cold-room__paraphrased,masked-noisy,top-domain,3,2,3,manuscript-review,no,0.653,manuscript,manuscript,0.653,1.7,-1.047,1,0
sample-cold-room__paraphrased,masked-noisy,random,1,2,1,package-tracking,yes,0.978,package,package,1.634,0,1.634,0,0
sample-cold-room__paraphrased,masked-noisy,random,2,2,1,package-tracking,yes,0.978,package,package,1.634,0,1.634,0,0
sample-cold-room__paraphrased,masked-noisy,random,3,2,1,package-tracking,yes,0.978,package,package,1.634,0,1.634,0,0
sample-cold-room__paraphrased,masked-adversarial,information-gain,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-cold-room__paraphrased,masked-adversarial,information-gain,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-cold-room__paraphrased,masked-adversarial,information-gain,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-cold-room__paraphrased,masked-adversarial,top-domain,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-cold-room__paraphrased,masked-adversarial,top-domain,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-cold-room__paraphrased,masked-adversarial,top-domain,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,0,0
sample-cold-room__paraphrased,masked-adversarial,random,1,2,1,manuscript-review,yes,0.59,package,manuscript,1.634,0.958,0.675,0,0
sample-cold-room__paraphrased,masked-adversarial,random,2,2,1,manuscript-review,yes,0.59,package,manuscript,1.634,0.958,0.675,0,0
sample-cold-room__paraphrased,masked-adversarial,random,2,2,2,package-tracking,yes,0.958,manuscript,package,0.958,0.711,0.247,0,0
sample-cold-room__paraphrased,masked-adversarial,random,3,2,1,manuscript-review,yes,0.59,package,manuscript,1.634,0.958,0.675,0,0
sample-cold-room__paraphrased,masked-adversarial,random,3,2,2,package-tracking,yes,0.958,manuscript,package,0.958,0.711,0.247,0,0
