case_id,source_case_id,stratum,prefix_depth,ground_truth_domain,benchmark_family,usage_mode,canonical_run_id,frontier_top_domain,frontier_top_confidence,frontier_top_accuracy,frontier_retention_truth,ground_truth_rank,single_theory_domain,single_theory_accuracy,cue_vote_domain,cue_vote_confidence,cue_vote_accuracy,naive_bayes_domain,naive_bayes_confidence,naive_bayes_accuracy,domain_entropy,frontier_width,question_available,premature_collapse
procurement-payment-order__noisy,procurement-payment-order,noisy,1,procurement,extended,canonical-cnl,procurement-payment-order__noisy_clean_p1_rich,package,0.512,0,0,,package,0,compliance,0.143,0,sample,0.329,0,1.974,8,1,0
procurement-payment-order__noisy,procurement-payment-order,noisy,2,procurement,extended,canonical-cnl,procurement-payment-order__noisy_clean_p2_rich,procurement,1,1,1,1,procurement,1,procurement,1,1,procurement,0.788,1,0,4,0,0
procurement-payment-order__noisy,procurement-payment-order,noisy,3,procurement,extended,canonical-cnl,procurement-payment-order__noisy_clean_p3_rich,procurement,1,1,1,1,procurement,1,procurement,1,1,procurement,1,1,0,4,0,0
procurement-payment-order__noisy,procurement-payment-order,noisy,4,procurement,extended,canonical-cnl,procurement-payment-order__noisy_clean_p4_rich,procurement,1,1,1,1,procurement,1,procurement,1,1,procurement,1,1,0,4,0,0
maintenance-generic__controlled,maintenance-generic,controlled,1,maintenance,extended,canonical-cnl,maintenance-generic__controlled_clean_p1_rich,package,0.512,0,0,,package,0,compliance,0.143,0,package,0.423,0,1.974,8,1,0
maintenance-generic__controlled,maintenance-generic,controlled,2,maintenance,extended,canonical-cnl,maintenance-generic__controlled_clean_p2_rich,maintenance,1,1,1,1,maintenance,1,maintenance,1,1,compliance,0.559,0,0,4,0,0
maintenance-generic__controlled,maintenance-generic,controlled,3,maintenance,extended,canonical-cnl,maintenance-generic__controlled_clean_p3_rich,maintenance,1,1,1,1,maintenance,1,maintenance,1,1,compliance,0.634,0,0,4,0,0
maintenance-generic__controlled,maintenance-generic,controlled,4,maintenance,extended,canonical-cnl,maintenance-generic__controlled_clean_p4_rich,maintenance,1,1,1,1,maintenance,1,maintenance,1,1,maintenance,0.658,1,0,4,0,0
maintenance-generic__paraphrased,maintenance-generic,paraphrased,1,maintenance,extended,canonical-cnl,maintenance-generic__paraphrased_clean_p1_rich,manuscript,0.372,0,0,,manuscript,0,compliance,0.143,0,package,0.404,0,1.565,8,1,0
maintenance-generic__paraphrased,maintenance-generic,paraphrased,2,maintenance,extended,canonical-cnl,maintenance-generic__paraphrased_clean_p2_rich,maintenance,1,1,1,1,maintenance,1,maintenance,1,1,package,0.372,0,0,4,0,0
maintenance-generic__paraphrased,maintenance-generic,paraphrased,3,maintenance,extended,canonical-cnl,maintenance-generic__paraphrased_clean_p3_rich,maintenance,1,1,1,1,maintenance,1,maintenance,0.658,1,maintenance,0.978,1,0,4,0,0
maintenance-generic__paraphrased,maintenance-generic,paraphrased,4,maintenance,extended,canonical-cnl,maintenance-generic__paraphrased_clean_p4_rich,maintenance,1,1,1,1,maintenance,1,maintenance,0.658,1,maintenance,0.999,1,0,4,0,0
maintenance-generic__noisy,maintenance-generic,noisy,1,maintenance,extended,canonical-cnl,maintenance-generic__noisy_clean_p1_rich,package,0.512,0,0,,package,0,compliance,0.143,0,package,0.423,0,1.974,8,1,0
maintenance-generic__noisy,maintenance-generic,noisy,2,maintenance,extended,canonical-cnl,maintenance-generic__noisy_clean_p2_rich,maintenance,1,1,1,1,maintenance,1,maintenance,1,1,sample,0.456,0,0,4,0,0
maintenance-generic__noisy,maintenance-generic,noisy,3,maintenance,extended,canonical-cnl,maintenance-generic__noisy_clean_p3_rich,maintenance,1,1,1,1,maintenance,1,maintenance,0.658,1,maintenance,0.963,1,0,4,0,0
maintenance-generic__noisy,maintenance-generic,noisy,4,maintenance,extended,canonical-cnl,maintenance-generic__noisy_clean_p4_rich,maintenance,1,1,1,1,maintenance,1,maintenance,0.658,1,maintenance,0.998,1,0,4,0,0
maintenance-diagnostic__controlled,maintenance-diagnostic,controlled,1,maintenance,extended,canonical-cnl,maintenance-diagnostic__controlled_clean_p1_rich,package,0.512,0,0,,package,0,compliance,0.143,0,sample,0.329,0,1.974,8,1,0
maintenance-diagnostic__controlled,maintenance-diagnostic,controlled,2,maintenance,extended,canonical-cnl,maintenance-diagnostic__controlled_clean_p2_rich,maintenance,1,1,1,1,maintenance,1,maintenance,1,1,maintenance,0.997,1,0,4,0,0
maintenance-diagnostic__controlled,maintenance-diagnostic,controlled,3,maintenance,extended,canonical-cnl,maintenance-diagnostic__controlled_clean_p3_rich,maintenance,1,1,1,1,maintenance,1,maintenance,1,1,maintenance,1,1,0,4,0,0
maintenance-diagnostic__controlled,maintenance-diagnostic,controlled,4,maintenance,extended,canonical-cnl,maintenance-diagnostic__controlled_clean_p4_rich,maintenance,1,1,1,1,maintenance,1,maintenance,1,1,maintenance,1,1,0,4,0,0
maintenance-diagnostic__paraphrased,maintenance-diagnostic,paraphrased,1,maintenance,extended,canonical-cnl,maintenance-diagnostic__paraphrased_clean_p1_rich,package,0.512,0,0,,package,0,compliance,0.143,0,manuscript,0.19,0,1.974,8,1,0
maintenance-diagnostic__paraphrased,maintenance-diagnostic,paraphrased,2,maintenance,extended,canonical-cnl,maintenance-diagnostic__paraphrased_clean_p2_rich,maintenance,1,1,1,1,maintenance,1,maintenance,1,1,maintenance,0.994,1,0,4,0,0
maintenance-diagnostic__paraphrased,maintenance-diagnostic,paraphrased,3,maintenance,extended,canonical-cnl,maintenance-diagnostic__paraphrased_clean_p3_rich,maintenance,1,1,1,1,maintenance,1,maintenance,1,1,maintenance,1,1,0,4,0,0
maintenance-diagnostic__paraphrased,maintenance-diagnostic,paraphrased,4,maintenance,extended,canonical-cnl,maintenance-diagnostic__paraphrased_clean_p4_rich,maintenance,1,1,1,1,maintenance,1,maintenance,1,1,maintenance,1,1,0,4,0,0
maintenance-diagnostic__noisy,maintenance-diagnostic,noisy,1,maintenance,extended,canonical-cnl,maintenance-diagnostic__noisy_clean_p1_rich,package,0.512,0,0,,package,0,compliance,0.143,0,sample,0.329,0,1.974,8,1,0
maintenance-diagnostic__noisy,maintenance-diagnostic,noisy,2,maintenance,extended,canonical-cnl,maintenance-diagnostic__noisy_clean_p2_rich,maintenance,1,1,1,1,maintenance,1,maintenance,1,1,maintenance,0.993,1,0,4,0,0
maintenance-diagnostic__noisy,maintenance-diagnostic,noisy,3,maintenance,extended,canonical-cnl,maintenance-diagnostic__noisy_clean_p3_rich,maintenance,1,1,1,1,maintenance,1,maintenance,1,1,maintenance,1,1,0,4,0,0
maintenance-diagnostic__noisy,maintenance-diagnostic,noisy,4,maintenance,extended,canonical-cnl,maintenance-diagnostic__noisy_clean_p4_rich,maintenance,1,1,1,1,maintenance,1,maintenance,1,1,maintenance,1,1,0,4,0,0
incident-forensic__controlled,incident-forensic,controlled,1,incident,extended,canonical-cnl,incident-forensic__controlled_clean_p1_rich,package,0.512,0,1,5,package,0,compliance,0.143,0,package,0.285,0,1.974,8,1,0
incident-forensic__controlled,incident-forensic,controlled,2,incident,extended,canonical-cnl,incident-forensic__controlled_clean_p2_rich,incident,1,1,1,1,incident,1,incident,1,1,incident,0.292,1,0,4,0,0
incident-forensic__controlled,incident-forensic,controlled,3,incident,extended,canonical-cnl,incident-forensic__controlled_clean_p3_rich,incident,1,1,1,1,incident,1,incident,1,1,incident,0.386,1,0,4,0,0
incident-forensic__controlled,incident-forensic,controlled,4,incident,extended,canonical-cnl,incident-forensic__controlled_clean_p4_rich,incident,1,1,1,1,incident,1,incident,0.64,1,incident,1,1,0,4,0,0
incident-forensic__paraphrased,incident-forensic,paraphrased,1,incident,extended,canonical-cnl,incident-forensic__paraphrased_clean_p1_rich,manuscript,0.372,0,0,,manuscript,0,compliance,0.143,0,compliance,0.602,0,1.565,8,1,0
incident-forensic__paraphrased,incident-forensic,paraphrased,2,incident,extended,canonical-cnl,incident-forensic__paraphrased_clean_p2_rich,incident,1,1,1,1,incident,1,incident,1,1,incident,0.735,1,0,4,0,0
incident-forensic__paraphrased,incident-forensic,paraphrased,3,incident,extended,canonical-cnl,incident-forensic__paraphrased_clean_p3_rich,incident,1,1,1,1,incident,1,incident,0.735,1,incident,0.989,1,0,4,0,0
incident-forensic__paraphrased,incident-forensic,paraphrased,4,incident,extended,canonical-cnl,incident-forensic__paraphrased_clean_p4_rich,incident,1,1,1,1,incident,1,incident,0.64,1,incident,1,1,0,4,0,0
incident-forensic__noisy,incident-forensic,noisy,1,incident,extended,canonical-cnl,incident-forensic__noisy_clean_p1_rich,package,0.512,0,1,5,package,0,compliance,0.143,0,package,0.285,0,1.974,8,1,0
incident-forensic__noisy,incident-forensic,noisy,2,incident,extended,canonical-cnl,incident-forensic__noisy_clean_p2_rich,incident,1,1,1,1,incident,1,incident,1,1,sample,0.296,0,0,4,0,0
incident-forensic__noisy,incident-forensic,noisy,3,incident,extended,canonical-cnl,incident-forensic__noisy_clean_p3_rich,incident,1,1,1,1,incident,1,incident,0.735,1,incident,0.93,1,0,4,0,0
incident-forensic__noisy,incident-forensic,noisy,4,incident,extended,canonical-cnl,incident-forensic__noisy_clean_p4_rich,incident,1,1,1,1,incident,1,incident,0.64,1,incident,1,1,0,4,0,0
incident-postmortem__controlled,incident-postmortem,controlled,1,incident,extended,canonical-cnl,incident-postmortem__controlled_clean_p1_rich,package,0.512,0,1,5,package,0,compliance,0.143,0,incident,0.719,1,1.974,8,1,0
incident-postmortem__controlled,incident-postmortem,controlled,2,incident,extended,canonical-cnl,incident-postmortem__controlled_clean_p2_rich,incident,1,1,1,1,incident,1,incident,1,1,incident,0.998,1,0,4,0,0
incident-postmortem__controlled,incident-postmortem,controlled,3,incident,extended,canonical-cnl,incident-postmortem__controlled_clean_p3_rich,incident,1,1,1,1,incident,1,incident,1,1,incident,1,1,0,4,0,0
incident-postmortem__controlled,incident-postmortem,controlled,4,incident,extended,canonical-cnl,incident-postmortem__controlled_clean_p4_rich,incident,1,1,1,1,incident,1,incident,0.767,1,incident,1,1,0,4,0,0
incident-postmortem__paraphrased,incident-postmortem,paraphrased,1,incident,extended,canonical-cnl,incident-postmortem__paraphrased_clean_p1_rich,package,0.512,0,1,5,package,0,compliance,0.143,0,incident,0.813,1,1.974,8,1,0
incident-postmortem__paraphrased,incident-postmortem,paraphrased,2,incident,extended,canonical-cnl,incident-postmortem__paraphrased_clean_p2_rich,incident,1,1,1,1,incident,1,incident,1,1,incident,0.999,1,0,4,0,0
incident-postmortem__paraphrased,incident-postmortem,paraphrased,3,incident,extended,canonical-cnl,incident-postmortem__paraphrased_clean_p3_rich,incident,1,1,1,1,incident,1,incident,0.629,1,incident,1,1,0,4,0,0
incident-postmortem__paraphrased,incident-postmortem,paraphrased,4,incident,extended,canonical-cnl,incident-postmortem__paraphrased_clean_p4_rich,incident,1,1,1,1,incident,1,incident,0.542,1,incident,1,1,0,4,0,0
incident-postmortem__noisy,incident-postmortem,noisy,1,incident,extended,canonical-cnl,incident-postmortem__noisy_clean_p1_rich,package,0.512,0,1,5,package,0,compliance,0.143,0,incident,0.719,1,1.974,8,1,0
incident-postmortem__noisy,incident-postmortem,noisy,2,incident,extended,canonical-cnl,incident-postmortem__noisy_clean_p2_rich,incident,1,1,1,1,incident,1,incident,1,1,incident,0.998,1,0,4,0,0
incident-postmortem__noisy,incident-postmortem,noisy,3,incident,extended,canonical-cnl,incident-postmortem__noisy_clean_p3_rich,incident,1,1,1,1,incident,1,incident,0.629,1,incident,1,1,0,4,0,0
incident-postmortem__noisy,incident-postmortem,noisy,4,incident,extended,canonical-cnl,incident-postmortem__noisy_clean_p4_rich,incident,1,1,1,1,incident,1,incident,0.542,1,incident,1,1,0,4,0,0
compliance-waiver__controlled,compliance-waiver,controlled,1,compliance,extended,canonical-cnl,compliance-waiver__controlled_clean_p1_rich,package,0.512,0,1,4,package,0,compliance,0.143,1,compliance,0.508,1,1.974,8,1,0
compliance-waiver__controlled,compliance-waiver,controlled,2,compliance,extended,canonical-cnl,compliance-waiver__controlled_clean_p2_rich,compliance,1,1,1,1,compliance,1,compliance,1,1,compliance,0.917,1,0,4,0,0
compliance-waiver__controlled,compliance-waiver,controlled,3,compliance,extended,canonical-cnl,compliance-waiver__controlled_clean_p3_rich,compliance,1,1,1,1,compliance,1,compliance,1,1,compliance,1,1,0,4,0,0
compliance-waiver__controlled,compliance-waiver,controlled,4,compliance,extended,canonical-cnl,compliance-waiver__controlled_clean_p4_rich,compliance,1,1,1,1,compliance,1,compliance,0.814,1,compliance,1,1,0,4,0,0
compliance-waiver__paraphrased,compliance-waiver,paraphrased,1,compliance,extended,canonical-cnl,compliance-waiver__paraphrased_clean_p1_rich,package,0.512,0,1,4,package,0,compliance,0.143,1,compliance,0.62,1,1.974,8,1,0
compliance-waiver__paraphrased,compliance-waiver,paraphrased,2,compliance,extended,canonical-cnl,compliance-waiver__paraphrased_clean_p2_rich,compliance,1,1,1,1,compliance,1,compliance,1,1,compliance,0.975,1,0,4,0,0
compliance-waiver__paraphrased,compliance-waiver,paraphrased,3,compliance,extended,canonical-cnl,compliance-waiver__paraphrased_clean_p3_rich,compliance,0.82,1,1,1,compliance,1,compliance,0.629,1,compliance,1,1,0.681,5,1,0
compliance-waiver__paraphrased,compliance-waiver,paraphrased,4,compliance,extended,canonical-cnl,compliance-waiver__paraphrased_clean_p4_rich,compliance,1,1,1,1,compliance,1,compliance,0.634,1,compliance,1,1,0,4,0,0
compliance-waiver__noisy,compliance-waiver,noisy,1,compliance,extended,canonical-cnl,compliance-waiver__noisy_clean_p1_rich,package,0.512,0,1,4,package,0,compliance,0.143,1,compliance,0.508,1,1.974,8,1,0
compliance-waiver__noisy,compliance-waiver,noisy,2,compliance,extended,canonical-cnl,compliance-waiver__noisy_clean_p2_rich,compliance,1,1,1,1,compliance,1,compliance,1,1,compliance,0.823,1,0,4,0,0
compliance-waiver__noisy,compliance-waiver,noisy,3,compliance,extended,canonical-cnl,compliance-waiver__noisy_clean_p3_rich,compliance,0.818,1,1,1,compliance,1,compliance,0.629,1,compliance,1,1,0.683,5,1,0
compliance-waiver__noisy,compliance-waiver,noisy,4,compliance,extended,canonical-cnl,compliance-waiver__noisy_clean_p4_rich,compliance,1,1,1,1,compliance,1,compliance,0.634,1,compliance,1,1,0,4,0,0
compliance-archive__controlled,compliance-archive,controlled,1,compliance,extended,canonical-cnl,compliance-archive__controlled_clean_p1_rich,package,0.512,0,1,4,package,0,compliance,0.143,1,package,0.381,0,1.974,8,1,0
compliance-archive__controlled,compliance-archive,controlled,2,compliance,extended,canonical-cnl,compliance-archive__controlled_clean_p2_rich,compliance,1,1,1,1,compliance,1,compliance,1,1,compliance,0.816,1,0,4,0,0
compliance-archive__controlled,compliance-archive,controlled,3,compliance,extended,canonical-cnl,compliance-archive__controlled_clean_p3_rich,compliance,1,1,1,1,compliance,1,compliance,0.787,1,compliance,1,1,0,4,0,0
compliance-archive__controlled,compliance-archive,controlled,4,compliance,extended,canonical-cnl,compliance-archive__controlled_clean_p4_rich,compliance,1,1,1,1,compliance,1,compliance,0.687,1,compliance,1,1,0,4,0,0
compliance-archive__paraphrased,compliance-archive,paraphrased,1,compliance,extended,canonical-cnl,compliance-archive__paraphrased_clean_p1_rich,manuscript,0.372,0,0,,manuscript,0,compliance,0.143,1,package,0.238,0,1.565,8,1,0
compliance-archive__paraphrased,compliance-archive,paraphrased,2,compliance,extended,canonical-cnl,compliance-archive__paraphrased_clean_p2_rich,compliance,1,1,1,1,compliance,1,compliance,1,1,compliance,0.635,1,0,4,0,0
compliance-archive__paraphrased,compliance-archive,paraphrased,3,compliance,extended,canonical-cnl,compliance-archive__paraphrased_clean_p3_rich,compliance,1,1,1,1,compliance,1,compliance,0.567,1,compliance,1,1,0,4,0,0
compliance-archive__paraphrased,compliance-archive,paraphrased,4,compliance,extended,canonical-cnl,compliance-archive__paraphrased_clean_p4_rich,compliance,1,1,1,1,compliance,1,compliance,0.567,1,compliance,1,1,0,4,0,0
compliance-archive__noisy,compliance-archive,noisy,1,compliance,extended,canonical-cnl,compliance-archive__noisy_clean_p1_rich,manuscript,0.372,0,0,,manuscript,0,compliance,0.143,1,package,0.381,0,1.565,8,1,0
compliance-archive__noisy,compliance-archive,noisy,2,compliance,extended,canonical-cnl,compliance-archive__noisy_clean_p2_rich,compliance,1,1,1,1,compliance,1,compliance,1,1,compliance,0.442,1,0,4,0,0
compliance-archive__noisy,compliance-archive,noisy,3,compliance,extended,canonical-cnl,compliance-archive__noisy_clean_p3_rich,compliance,1,1,1,1,compliance,1,compliance,0.567,1,compliance,1,1,0,4,0,0
compliance-archive__noisy,compliance-archive,noisy,4,compliance,extended,canonical-cnl,compliance-archive__noisy_clean_p4_rich,compliance,1,1,1,1,compliance,1,compliance,0.567,1,compliance,1,1,0,4,0,0
